/Users/tomoki/anaconda/bin/python3 /Applications/PyCharm.app/Contents/helpers/pydev/pydevd.py --multiproc --qt-support=auto --client 127.0.0.1 --port 61166 --file /Users/tomoki/PycharmProjects/unimorph-task1/main.py
pydev debugger: process 31811 is connecting

Connected to pydev debugger (build 173.4127.16)
[dynet] random seed: 1167912836
[dynet] allocating memory: 512MB
[dynet] memory allocation done.
loss: 28383.70592880249
تَحُوطِي تَرَانَ
شَقَّةُ الْتَالَانَ
تُفَاجِئَا تَرَانَ
صُفِينَا تَرَانَانَ
وَظِيفَةِ الْتَالَانَانَ
غُرْبَةَ الْتَالَانَانَ
مُفَاجَأَة اِرَانَا
تَرِينَانِ تَرْتَانَا
تُزَادَ تَرَا
تَأَمْرَكَتَا تَرْتَا
يُمَاثِلُو تَرَا
تَزْدَحِمَ تَرْتَا
تُسْتَقَالَا تَرْتَا
تُحْتَاجَ تَرْتَا
وَاصَلْتُنَّ تَرَا
تُسْتَعْلَمِي تَرْتَا
دَرَجَتَانِ الْتَانَانَ
تُسْتَمَعْنَ تَرْتَا
يَسْتَعْرِبُ تَرْتَا
مَطْفُوء اِرَانَ
فَخُورَتَانِ الْتَالَانَا
اِسْتَشْعِرُو تَرْتَا
تُكَاثِرَا تَرَا
اِسْتِعْرَاب تَرْتَانَا
ظَرْفَيْنِ الْتَارَانَانَ
تَوَكَّأْتُمْ تَرْتَا
يُبَطَّأْنَ تَرَا
طَهِّرَا تَرَا
لُوقِيتِ تَرْتَانَا
يَرْجَحْنِنَّ تَرْتَا
نَارَيْنِ الْتَانَانَانَ
مَحْظُوظَتَانِ الْتَالَانَ
شِمْبَانْزِي الْتَانَانَانَ
الْقُرَشِيَّتَيْنِ الْتَالَانَا
اِنْتِفَاخ تَرْتَانَا
الْعَمِيقَتَيْنِ الْتَارَانَا
اُسْتُقْرِضَتْ تَرْتَا
جَرِيمَتَيْنِ الْتَارَانَانَ
تُشَاغَلَ تَرَا
تُعْطَيْ تَرَا
ضُوقَيَيْن الْتَالَانَا
اِسْتَكْثَرْتَ تَرْتَا
طَالِب الْتَالَانَانَ
تَذْرُوَانِ تَرَا
تُفْنِيَ تَرْتَا
تُهَانُ تَرْتَانَا
سُقِيتَ تَرْتَانَا
يُسْتَكْشَفْنَ تَرْتَا
اُسْتُكْبِرْتِ تَرْتَا
تَعْمِيلِ الْتَانَانَانَ
أُسْبَغَ تَرْتَانَا
هُنِّئَتَا تَرَا
يُبَرْهِنَ تَرْتَا
أَخْفِينَ تَرَا
اِرْتَبَكْنَا تَرْتَا
تُفْتَعَلْنَ تَرْتَا
أَصْحُو اِرَانَا
بَاحَثْتُمَا تَرْتَانَا
اُقْتُطِطْنَ تَرْتَا
تَسْقُطِينَ تَرْتَانَا
تُخَوِّلَانِ تَرَانَ
قَمْحَةُ الْتَانَانَ
خِتَان الْتَانَانَانِ
تُجَاوَزَانِ تَرَانَ
تُذِيعُو تَرَا
سُوئِلُوا تَرَانَ
تَثْنَوْنِينَ تَرْتَا
تَدِنَّ تَرْتَا
يُسْتَعْدَدْنَ تَرْتَا
تُنَارُو تَرْتَانَ
فُورِقَ تَرْتَانَا
تُصَادِرِي تَرْتَا
جَمَارِكُ الْتَانَانَ
فُتِّشْتُ تَرْتَانَانِ
تَعْبَانَاتٌ الْتَارَانَانَانِ
أُقَرَّرَ تَرْتَانَانَ
حَوَاسِيبُ الْتَانَانَ
سُكْنَى الْتَانَانَانَ
تُلْتَمَسِي تَرْتَا
مَعَاهِدُ الْتَارَانَانَانَ
اُسْتُرْزِقْنَا تَرْتَا
سِرَار الْتَالَانَانَ
يَأْبَيَا تَرَا
تُقَامَرْنَ تَرْتَانَا
الْأَنِيقَتَيْنِ الْتَارَانَا
يَبْأَسْنَ تَرَا
يَأْتِيَ تَرْتَا
ثَبَتُّ تَرْتَا
تُحْوِجْنَ تَرْتَا
يُزَلْزَلَانِ تَرَانَ
أَقْتَتِلَ تَرْتَا
يُقْتَضَبْنَ تَرْتَا
يُدَارُونَ تَرْتَانَا
اِفْتَقَرْتِ تَرْتَا
إِدْحِيَّيْن الْتَارَانَانَ
تُبَادِلَا تَرَا
ثَوْبَيْن الْتَانَانَانَ
تَرْضَ تَرَانَ
نَحْتَلُّ تَرْتَانَا
نُصْغَى تَرْتَانَانَ
اُسْتُكْفِفْتُ تَرْتَانَا
يُغْرِمَ تَرَا
يَسْتَكْلِبَا تَرْتَا
أَطْعِمَةَ الْتَانَانَ
اُمْتُحِنَ تَرْتَا
اِسْتَرْدَدْتَ تَرْتَا
اِتَّخَذَا تَرْتَا
يَسْجُدْنَ تَرْتَا
تَهْلُكَةُ الْتَانَانَ
غَزَارَتَانِ الْتَارَانَانَ
يُجْلِدُو تَرَا
مُتَكَلِّمَتَيْ الْتَانَانِ
فِعْل  الْمُعْتَلّ الْتَانَانَانِ
تَحْتَرِمِي تَرْتَا
مُؤَرِّخِي الْتَانَانَ
يُدَّعَيَا تَرَا
رَزَّزْتُمْ تَرَا
تُجَهِّزَا تَرَانَ
لَاجِئ الْتَالَانَانَ
بَنْكَا الْتَانَانَ
شَبَاحَةُ الْتَالَانَ
رَاكِبَ الْتَالَانَانَ
تُضَافَانِ تَرَانَ
اِئْتَمَمْتُمْ تَرْتَا
دِيكَانِ الْتَارَانَانَ
يُجَدَّدَا تَرَا
أَحْتَوِ تَرْتَانَا
تَحْقَوْقِفُ تَرْتَانَا
تُفْتَكَرُ تَرْتَا
اِسْتِئْمَانَ الْتَانَانَانِ
طَرِيَّيْنِ الْتَالَانَانَا
صَالُونَيْنِ الْتَارَانَانَ
فُتِّشُوا تَرْتَا
قَطِيعُ الْتَارَانَ
نِظَامِيَّتَانِ الْتَالَانَا
كُولِيرَا الْتَالَانَانَ
تَنْحَمِلِي تَرْتَا
يُسْتَقْبَحْنَ تَرْتَا
شِعْتَ تَرَا
تَفَرْنَسُو تَرْتَا
اِحْتِلَامَاتُ الْتَانَانَ
تَنْشَغِفْنَ تَرْتَا
أُلْغَ تَرْتَانَانَ
يَطَأْنَ تَرَا
أُشِرْتُ تَرْتَانَانَ
سِكَكُ الْتَالَانَ
اِتِّحَاد تَرْتَانَا
يُنَاقَشَا تَرَا
تَهَيَّأَ تَرْتَا
تُنِيرُ تَرْتَا
اِقْتَرَبْنَا تَرْتَا
نُعْتَمَرْ تَرْتَا
أَهْمَلْتُ تَرْتَانَانَ
اِسْلَنْطِحْنَ تَرْتَا
أَلْسِنَةِ الْتَانَانَ
يَتَمَنَّيْنَ تَرْتَا
كَفَاءَتَيْ الْتَالَانَ
تُفَتَّشُ تَرْتَانَا
عِيدِيَّةَ الْتَالَانَانَ
فَرَادِيس الْتَانَانَ
اُسْتُجْمِعَتْ تَرْتَا
الرَّتِيبَيْن الْتَارَانَانِ
يَسْقِيَانِ تَرَا
أُحْوَجُ تَرْتَانَ
أَضْرَغِطَّ تَرْتَانَانَ
تَنْحَمِلُو تَرْتَانَا
تُذَاكِرْ تَرَا
يُنْهُونَ تَرْتَا
مِحْوَرَيْنِ الْتَانَانَ
صَدِيقَاتِ الْتَانَانَ
تُحَامِي تَرَا
مَهْجُوم اِرَانَ
تُحْتَسَبَانِ تَرْتَا
رَحِيمَيْنِ الْتَارَانَانَ
اِفْتَعَلْتُنَّ تَرْتَا
وِتَارِ الْتَانَانَا
تُرَبِّيَانِ تَرَا
تُنَاقِشَا تَرَا
خَيْمَتَيْنِ الْتَارَانَانَ
أَهْجِرَا تَرَا
مُقَايَس اِرْتَانَانَ
بَطُؤْتُمَا تَرَا
نَافِسْ تَرْتَانَا
يُحْمَيَانِ تَرَا
جَبْهَةَ الْتَالَانَ
قَهْقِهِي تَرَا
تُرْشَيَا تَرَانَ
يُنْبِئْنَ تَرَا
نُسْتَجَارَ تَرْتَانَا
اُسْتُنَّ تَرْتَا
طُقُوسُ الْتَانَانَ
تَكْفِيرَ الْتَانَانَانَ
أَطْعِمَةِ الْتَانَانَ
يَصْطَبِرَا تَرَا
تُبَسْمَلِي تَرْتَا
خَيْمَتَيْ الْتَانَانَ
تَدْحِي تَرَا
تُنَادُوا تَرْتَا
تُطَهِّرُونَ تَرَا
تَعَالَتَا تَرْتَا
أُسْتَقْبَحْ تَرْتَا
فِنْلَنْدِيَّتَيْ الْتَانَانَ
قُرَى الْتَانَانَ
نَتَعَشَّ تَرْتَانَانِ
رُضِينَ تَرَا
تَدُومَانِ تَرَا
اِسْتِذْكَارَ الْتَانَانَانِ
تَشَيْطَنُوا تَرْتَا
أَضَفْتِ تَرَا
اِذْلَوْلِي تَرَانَ
يُجَاعَ تَرَا
مُدْهِشَانِ الْتَارَانَا
اِسْتَبْدَلُوا تَرْتَا
مُسْتَأْجَر تَرْتَانَا
تَنْكَرِبْنَ تَرْتَا
أَمِيرَتَيْنِ الْتَارَانَانَ
يَقْتَضِبْنَ تَرْتَا
تُدْمِنَانِ تَرْتَا
قُصْوَيَيْن الْتَالَانَا
تَسْتَذْنِبَا تَرْتَا
أُعْجَمُ تَرْتَانَ
حُنِيتُمَا تَرْتَانَا
الْمُشْمِسَتَانِ الْتَارَانَا
زَهَدَتَا تَرَا
يَسْقُطَ تَرَا
الْأَبْخَلَيْنِ الْتَالَانَانَ
تُقَلَّدْنَ تَرَا
اِفْتِعَالِ الْتَانَانَانِ
الْمُهَاجِمَيْن الْتَالَانَانِ
مَقْطُوعَتَانِ الْتَانَانَ
دُحْرِجَ تَرْتَا
يُسْتَذْنَبُو تَرْتَا
سَاخِنَتَانِ الْتَانَانَا
مَوْهُ الْتَالَانَ
دُعِيتُ تَرْتَانَانَ
تُشَقْ تَرَا
بَخْشِيشَ الْتَالَانَانَ
تَكْفُوا تَرَانَ
أُسَانَدُ تَرْتَانَا
كَلِمَاتُ الْتَالَانَ
تَخْشَوْشِنَانِ تَرْتَانَا
تَحْتَرِمَانِ تَرْتَا
تُسْتَجْنَنَّ تَرْتَا
نُرَاحُ تَرْتَانَا
غُذُوا تَرَانَ
جِنَيْهَا الْتَانَانَ
جَاوَرْنَا تَرْتَانَانَ
تُسَمَّمُ تَرَا
تُقَمْقَمَانِ تَرَا
تَتَوَكَّئِي تَرْتَا
يَسْتَضِيئُو تَرْتَا
يَلْتَهِمَا تَرْتَا
يَرْتَبِكْنَ تَرْتَا
اِسْتَظْهَرْنَا تَرْتَا
مُسْتَضَاء اِسْتَانَا
اِحْتِرَاقِ الْتَانَانَا
اِنْتِخَابُ الْتَانَانَا
عُظْمَيَيْنِ الْتَانَانَ
شَاشَةِ الْتَالَانَا
مُتَدَاوَلَتَيْن الْتَانِي
اُنْكُحْ تَرَا
سِلَاحِ الْتَالَانَانَ
تَنْفِينَ تَرْتَانَا
الْمَجَّانِيَّانِ الْتَالَانَانَانِ
يَرْتَجِلَا تَرْتَا
سُجُود اِرْتَانَا
أَسْتَعِذْ تَرْتَانَا
مَكْتَبَيْنِ الْتَانَانَ
شَارَكَا تَرَا
تُسْتَطَاعِينَ تَرْتَا
أُهَنْدِسَ تَرْتَانَا
تَعْيِينَ الْتَانَانَانَ
تَزُورَا تَرَا
صَابَحُوا تَرَا
يُسَخِّرُ تَرْتَا
اِخْتَرْتُنَّ تَرْتَا
تُنْصَفُ تَرْتَانَا
أُهِنْ تَرْتَانَانَ
نَسْتَثْنِيَ تَرْتَا
يُبْهَمْنَ تَرَا
ثَوْر اِرَانَا
تُبَارَكْ تَرَا
تُسْتَثْنَيْنَ تَرْتَا
تَحْصُلِي تَرَا
اُسْتُثْنِيتُ تَرْتَانَا
تَعْطِيلَ الْتَانَانَانَ
يُطْعِمْنَ تَرَا
نَسْتَحِمَّ تَرْتَا
جَنَازَةُ الْتَالَانَانَ
تُقْعَدُ تَرْتَا
كَامِيرَتَيْ الْتَانَانَ
تَنْحَمِلْنَ تَرْتَا
رُغِبُوا تَرْتَانَا
تُكَاثَرْ تَرَا
نُحَيِّ اِرَانَا
ذَاكَرَ تَرَا
الْوَحْدَانِيَّانِ الْتَارَانَانِ
مُبْتَدِئِي الْتَانَانَ
تَزْوِيَةِ الْتَالَانَانَ
مَوْطُوء اِرَانَ
تُفَاجِئَا تَرَانَ
أَخْرَنْمِسُ تَرْتَانَا
يُنَافِسُونَ تَرَا
مَاشِيَا الْتَانَانَ
فَتْوَيَانِ الْتَانَانَ
تُسَانَدْنَ تَرْتَا
سَيِّدَا الْتَانَانَ
يُتْقَنَّ تَرْتَا
مَأْكَلِ الْتَالَانَانَ
تُسْقَيْنَ تَرَا
صَابَحْتُ تَرْتَانَانَ
إِلْزَامِ الْتَالَانَانَ
يَصْطَلِ تَرَا
أَوْهَامُ الْتَانَانَ
يُنْبِئَا تَرَا
دَعَوَا تَرَا
اُسْتُخْدِمَتَا تَرْتَا
تُهْمِلَا تَرَا
تُحَارِبَا تَرَا
إِتْرِيُومَ الْتَانَانَانَ
تُلَاقُونَ تَرْتَانَا
تُسْتَشْعَرُ تَرْتَا
اِشْتَهَرَتَا تَرْتَا
مِسْمَارَا الْتَانَانَ
جَاذِبَيْنِ الْتَالَانَانَ
أُسْتَهْدَفَ تَرْتَانَا
حَشْوَانُ الْتَانَانَ
إِصْغَارِ الْتَالَانَانَ
أَشْتَرِ تَرْتَانَا
رُغِبَتْ تَرْتَانَا
بُوحِثْتُ تَرْتَانَانَ
تُزْحَرَا تَرَا
يَشْفُونَ تَرَا
الْإِلِكْتْرُونِيَّتَيْن الْتَانِي
اِكْتَتَبْتُنَّ تَرْتَا
أُجَرَ الْتَانَانَ
تَقْعُدَانِ تَرَا
أَسْقَوْا تَرَا
تُعْتَادُو تَرْتَا
تَسَرَّيْنَ تَرْتَا
قِمَّتَيْ الْتَانَانَ
يَعْتَزِمْنَ تَرْتَا
تَأْتَمِرُو تَرْتَا
مُتَوَكِّئ تَرْتَانَانَ
كِدْتُ تَرْتَانَانَ
يُوقَيَا تَرَا
صُحِبَتْ تَرَا
رَانَ تَرَا
تَسْتَرْجِلْنَ تَرْتَا
يَسْتَظْهِرَانِ تَرْتَا
إنِسِيَالِسْمَْ الْتَانَانَانَ
أُلْتَمَسَ تَرْتَا
اِسْتَنْسَبْنَ تَرْتَا
حَقِيبَتَيْ سَفَرِ الْتَانَانَ
سَارِقَتَا الْتَانَانَ
تَوْتِيرُ الْتَانَانَانَ
accuracy: 0.0
loss: 23090.060649871826
إِشْهَادٍ مَمْرَانِ
الْإِبِلَ الْمَالِيْنِ
الشَّبَاحَةُ الْمَالِين
قِرَاءَة مَارَان
مُثَنَّيَاتٍ مَرْرَانِ
أُسَمِّمَ تَرَانِ
يُلَامَسُو تُرَانَا
تُقْتَضَبَانِ تَاتَانِي
اِسْتَتِيبَا اِسْتَانِي
مُنَاسِبَة مَارِين
الْخَلْفِيِّ الْمَالِيْنِ
فُقِّطَا مَرَانِ
عَاطِفِيًّا مَارِيْنَانِ
تَسَلٍّ تَسْتَا
دُولَاب مَارَانِ
يَدْحُوَا تَمَا
أَزْدَنْ مَارِيْنِ
